onset	duration	trial_type	amplitude
390.0	1.0	street	1.0
391.0	1.0	street	1.0
392.0	1.0	street	1.0
393.0	1.0	street	1.0
394.0	1.0	street	1.0
395.0	1.0	street	0.0
396.0	1.0	street	0.0
397.0	1.0	street	0.0
398.0	1.0	street	0.0
399.0	1.0	street	0.0
400.0	1.0	street	1.0
401.0	1.0	street	1.0
402.0	1.0	street	0.0
403.0	1.0	street	1.0
404.0	1.0	street	1.0
405.0	1.0	street	1.0
406.0	1.0	street	0.0
407.0	1.0	street	0.0
408.0	1.0	street	0.0
409.0	1.0	street	1.0
410.0	1.0	street	1.0
411.0	1.0	street	0.0
412.0	1.0	street	0.0
413.0	1.0	street	0.0
414.0	1.0	street	0.0
415.0	1.0	street	1.0
416.0	1.0	street	1.0
417.0	1.0	street	0.0
418.0	1.0	street	0.0
419.0	1.0	street	0.0
420.0	1.0	street	1.0
421.0	1.0	street	0.0
422.0	1.0	street	0.0
423.0	1.0	street	0.0
424.0	1.0	street	0.0
425.0	1.0	street	0.0
426.0	1.0	street	0.0
427.0	1.0	street	0.0
428.0	1.0	street	0.0
429.0	1.0	street	0.0
430.0	1.0	street	0.0
431.0	1.0	street	0.0
432.0	1.0	street	0.0
433.0	1.0	street	0.0
434.0	1.0	street	0.0
435.0	1.0	street	0.0
436.0	1.0	street	0.0
437.0	1.0	street	0.0
438.0	1.0	street	0.0
439.0	1.0	street	0.0
440.0	1.0	street	0.0
441.0	1.0	street	0.0
442.0	1.0	street	0.0
443.0	1.0	street	0.0
444.0	1.0	street	0.0
445.0	1.0	street	0.0
446.0	1.0	street	0.0
447.0	1.0	street	0.0
448.0	1.0	street	0.0
449.0	1.0	street	0.0
450.0	1.0	street	0.0
451.0	1.0	street	0.0
452.0	1.0	street	0.0
453.0	1.0	street	0.0
454.0	1.0	street	0.0
455.0	1.0	street	0.0
456.0	1.0	street	0.0
457.0	1.0	street	0.0
458.0	1.0	street	0.0
459.0	1.0	street	0.0
460.0	1.0	street	0.0
461.0	1.0	street	0.0
462.0	1.0	street	0.0
463.0	1.0	street	0.0
464.0	1.0	street	0.0
465.0	1.0	street	0.0
466.0	1.0	street	0.0
467.0	1.0	street	0.0
468.0	1.0	street	0.0
469.0	1.0	street	0.0
470.0	1.0	street	0.0
471.0	1.0	street	0.0
472.0	1.0	street	0.0
473.0	1.0	street	0.0
474.0	1.0	street	0.0
475.0	1.0	street	0.0
476.0	1.0	street	0.0
477.0	1.0	street	0.0
478.0	1.0	street	0.0
479.0	1.0	street	0.0
480.0	1.0	street	0.0
481.0	1.0	street	0.0
482.0	1.0	street	0.0
483.0	1.0	street	0.0
484.0	1.0	street	0.0
485.0	1.0	street	0.0
486.0	1.0	street	0.0
487.0	1.0	street	0.0
488.0	1.0	street	0.0
489.0	1.0	street	0.0
490.0	1.0	street	0.0
491.0	1.0	street	0.0
492.0	1.0	street	0.0
493.0	1.0	street	0.0
494.0	1.0	street	0.0
495.0	1.0	street	0.0
496.0	1.0	street	0.0
497.0	1.0	street	0.0
498.0	1.0	street	0.0
499.0	1.0	street	0.0
500.0	1.0	street	0.0
501.0	1.0	street	0.0
502.0	1.0	street	0.0
